la,ld , ave ULP,  max ULP , comm,    time
4,9,  0.234334,   18  , 9424,    122229
4,10,  0.160071,   17  , 9488,    122164
4,10,  0.160058,   17  , 9488,    123088
4,10,  0.159978,   17  , 9488,    122783
5,10,  0.142538,   9  , 9872,    126865
5,10,  0.142471,   10  , 9872,    126849
5,10,  0.142457,   10  , 9872,    127571
5,11,  0.113794,   9  , 9936,    127640
5,11,  0.113832,   9  , 9936,    128212
5,11,  0.113768,   9  , 9936,    126781
6,11,  0.105631,   6  , 10320,    130916
6,11,  0.105563,   6  , 10320,    131131
6,11,  0.105695,   6  , 10320,    131211
6,12,  0.0944901,   5  , 10376,    132514
6,12,  0.0943756,   5  , 10376,    132597
6,12,  0.0944118,   5  , 10376,    132417
7,12,  0.0875225,   4  , 10760,    135660
7,12,  0.0875788,   4  , 10760,    136191
7,12,  0.0875368,   4  , 10760,    137493
7,13,  0.087286,   4  , 10824,    137432
7,13,  0.0872049,   3  , 10824,    137406
7,13,  0.0873499,   3  , 10824,    135647
13,13,  0.0853624,   3  , 13192,    163085
13,13,  0.0852365,   3  , 13192,    164191
13,13,  0.08531,   3  , 13192,    163673
